period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs,fossil_twh,clean_twh,vre_twh,total_twh,Hydro_share,Gas_share,Solar_share,Wind_share,Clean_share,VRE_share,Fossil_share
2030,0.0,71.3,21.85,43.62,0.0,213.57,0.35,631.23,32.83,177.12,-0.59,64.17,trd_siemens23_1axis,235.42,976.99,241.29,1212.41,0.52,0.18,0.15,0.05,0.81,0.2,0.19
2040,0.0,81.5,10.98,16.81,0.0,476.05,0.35,732.61,32.83,210.15,-0.56,69.35,trd_siemens23_1axis,487.02,1126.79,279.5,1613.81,0.45,0.29,0.13,0.04,0.7,0.17,0.3
2050,-2.07,81.14,7.86,2.48,0.02,738.12,0.35,772.18,32.83,324.63,-0.53,196.06,trd_siemens23_1axis,746.0,1407.19,520.69,2153.19,0.36,0.34,0.15,0.09,0.65,0.24,0.35
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_ge25_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,71.01,21.11,43.2,0.0,204.99,0.35,635.57,32.83,147.96,-0.59,98.58,trd_ge25_1axis,226.1,986.3,246.54,1212.4,0.52,0.17,0.12,0.08,0.81,0.2,0.19
2040,0.0,80.91,10.47,17.35,0.0,450.21,0.35,739.16,32.83,181.54,-0.55,118.35,trd_ge25_1axis,460.68,1153.13,299.88,1613.81,0.46,0.28,0.11,0.07,0.71,0.19,0.29
2050,-1.39,77.62,5.38,3.0,0.02,661.9,0.35,771.79,32.83,308.69,-0.5,294.47,trd_ge25_1axis,667.29,1485.76,603.16,2153.05,0.36,0.31,0.14,0.14,0.69,0.28,0.31
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_ge15_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,70.94,20.78,43.45,0.0,211.39,0.35,633.27,32.83,165.93,-0.6,76.92,trd_ge15_1axis,232.17,980.25,242.85,1212.42,0.52,0.17,0.14,0.06,0.81,0.2,0.19
2040,0.0,81.53,10.99,17.21,0.0,465.27,0.35,734.44,32.83,205.9,-0.56,82.51,trd_ge15_1axis,476.25,1137.56,288.41,1613.81,0.46,0.29,0.13,0.05,0.7,0.18,0.3
2050,-1.87,80.5,6.06,2.48,0.02,725.05,0.35,772.18,32.83,321.17,-0.52,214.98,trd_ge15_1axis,731.13,1422.02,536.16,2153.14,0.36,0.34,0.15,0.1,0.66,0.25,0.34
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_gamesa2_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,71.16,24.18,44.18,0.0,217.3,0.35,631.84,32.83,207.12,-0.59,27.62,trd_gamesa2_1axis,241.48,970.93,234.75,1212.41,0.52,0.18,0.17,0.02,0.8,0.19,0.2
2040,0.0,81.71,11.95,16.93,0.0,486.11,0.35,732.12,32.83,238.81,-0.61,29.99,trd_gamesa2_1axis,498.06,1115.8,268.8,1613.87,0.45,0.3,0.15,0.02,0.69,0.17,0.31
2050,-2.23,81.47,10.3,2.4,0.02,775.33,0.35,777.31,32.83,339.38,-0.57,136.25,trd_gamesa2_1axis,785.65,1367.6,475.64,2153.25,0.36,0.36,0.16,0.06,0.64,0.22,0.36
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_enercon7_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,71.16,24.18,44.17,0.0,217.29,0.35,632.0,32.83,206.99,-0.6,27.62,trd_enercon7_1axis,241.46,970.95,234.61,1212.41,0.52,0.18,0.17,0.02,0.8,0.19,0.2
